name,province_id
Quận Ba Đình,1
Quận Hoàn Kiếm,1
Quận Hai Bà Trưng,1
Quận Đống Đa,1
Quận Tây Hồ,1
Quận Cầu Giấy,1
Quận Thanh Xuân,1
Quận Hoàng Mai,1
Quận Long Biên,1
Quận Bắc Từ Liêm,1
Huyện Thanh Trì,1
Huyện Gia Lâm,1
Huyện Đông Anh,1
Huyện Sóc Sơn,1
Quận Hà Đông,1
Thị xã Sơn Tây,1
Huyện Ba Vì,1
Huyện Phúc Thọ,1
Huyện Thạch Thất,1
Huyện Quốc Oai,1
Huyện Chương Mỹ,1
Huyện Đan Phượng,1
Huyện Hoài Đức,1
Huyện Thanh Oai,1
Huyện Mỹ Đức,1
Huyện Ứng Hòa,1
Huyện Thường Tín,1
Huyện Phú Xuyên,1
Huyện Mê Linh,1
Quận Nam Từ Liêm,1
Quận 1,2
Quận 2,2
Quận 3,2
Quận 4,2
Quận 5,2
Quận 6,2
Quận 7,2
Quận 8,2
Quận 9,2
Quận 10,2
Quận 11,2
Quận 12,2
Quận Tân Bình,2
Quận Tân Phú,2
Quận Bình Thạnh,2
Quận Phú Nhuận,2
Quận Thủ Đức,2
Quận Bình Tân,2
Huyện Bình Chánh,2
Huyện Củ Chi,2
Huyện Hóc Môn,2
Huyện Nhà Bè,2
Huyện Cần Giờ,2
Quận Hồng Bàng,3
Quận Lê Chân,3
Quận Ngô Quyền,3
Quận Kiến An,3
Quận Hải An,3
Quận Đồ Sơn,3
Huyện An Lão,3
Huyện Kiến Thụy,3
Huyện Thủy Nguyên,3
Huyện An Dương,3
Huyện Tiên Lãng,3
Huyện Vĩnh Bảo,3
Huyện Cát Hải,3
Huyện Bạch Long Vĩ,3
Quận Dương Kinh,3
Quận Hải Châu,4
Quận Thanh Khê,4
Quận Sơn Trà,4
Quận Ngũ Hành Sơn,4
Quận Liên Chiểu,4
Huyện Hòa Vang,4
Quận Cẩm Lệ,4
Huyện Hoàng Sa,4
Thành phố Hà Giang,5
Huyện Đồng Văn,5
Huyện Mèo Vạc,5
Huyện Yên Minh,5
Huyện Quản Bạ,5
Huyện Vị Xuyên,5
Huyện Bắc Mê,5
Huyện Hoàng Su Phì,5
Huyện Xín Mần,5
Huyện Bắc Quang,5
Huyện Quang Bình,5
Huyện Bắc Mê,5
Thành phố Cao Bằng,6
Huyện Bảo Lạc,6
Huyện Thông Nông,6
Huyện Hà Quảng,6
Huyện Trà Lĩnh,6
Huyện Trùng Khánh,6
Huyện Nguyên Bình,6
Huyện Hòa An,6
Huyện Quảng Uyên,6
Huyện Thạch An,6
Huyện Hạ Lang,6
Huyện Bảo Lâm,6
Huyện Phục Hòa,6
Huyện Hòa An,6
Thành Phố Lai Châu,7
Huyện Tam Đường,7
Huyện Phong Thổ,7
Huyện Sìn Hồ,7
Huyện Mường Tè,7
Huyện Than Uyên,7
Huyện Tân Uyên,7
Huyện Nậm Nhùn,7
Huyện Bảo Thắng,8
Huyện Bảo Yên,8
Huyện Bát Xát,8
Huyện Bắc Hà,8
Thành phố Lào Cai,8
Huyện Mường Khương,8
Huyện Sa Pa,8
Huyện Si Ma Cai,8
Huyện Văn Bàn,8
Thành phố Tuyên Quang,9
Huyện Lâm Bình,9
Huyện Na Hang,9
Huyện Chiêm Hóa,9
Huyện Hàm Yên,9
Huyện Yên Sơn,9
Huyện Sơn Dương,9
Thành phố Lạng Sơn,10
Huyện Tràng Định,10
Huyện Bình Gia,10
Huyện Văn Lãng,10
Huyện Bắc Sơn,10
Huyện Văn Quan,10
Huyện Cao Lộc,10
Huyện Lộc Bình,10
Huyện Chi Lăng,10
Huyện Đình Lập,10
Huyện Hữu Lũng,10
Thành phố Bắc Kạn,11
Huyện Chợ Đồn,11
Huyện Bạch Thông,11
Huyện Na Rì,11
Huyện Ngân Sơn,11
Huyện Ba Bể,11
Huyện Chợ Mới,11
Huyện Pác Nặm,11
Thành phố Thái Nguyên,12
Thành phố Sông Công,12
Huyện Định Hóa,12
Huyện Phú Lương,12
Huyện Võ Nhai,12
Huyện Đại Từ,12
Huyện Đồng Hỷ,12
Huyện Phú Bình,12
Thị xã Phổ Yên,12
Thành phố Yên Bái,13
Thị xã Nghĩa Lộ,13
Huyện Văn Yên,13
Huyện Yên Bình,13
Huyện Mù Cang Chải,13
Huyện Văn Chấn,13
Huyện Trấn Yên,13
Huyện Trạm Tấu,13
Huyện Lục Yên,13
Thành phố Sơn La,14
Huyện Quỳnh Nhai,14
Huyện Mường La,14
Huyện Thuận Châu,14
Huyện Bắc Yên,14
Huyện Phù Yên,14
Huyện Mai Sơn,14
Huyện Yên Châu,14
Huyện Sông Mã,14
Huyện Mộc Châu,14
Huyện Sốp Cộp,14
Huyện Vân Hồ,14
Thành phố Việt Trì,15
Thị xã Phú Thọ,15
Huyện Đoan Hùng,15
Huyện Thanh Ba,15
Huyện Hạ Hòa,15
Huyện Cẩm Khê,15
Huyện Yên Lập,15
Huyện Thanh Sơn,15
Huyện Phù Ninh,15
Huyện Lâm Thao,15
Huyện Tam Nông,15
Huyện Thanh Thủy,15
Huyện Tân Sơn,15
Thành phố Vĩnh Yên,16
Huyện Tam Dương,16
Huyện Lập Thạch,16
Huyện Vĩnh Tường,16
Huyện Yên Lạc,16
Huyện Bình Xuyên,16
Huyện Sông Lô,16
Thị xã Phúc Yên,16
Huyện Tam Đảo,16
Thành phố Hạ Long,17
Thành phố Cẩm Phả,17
Thành phố Uông Bí,17
Thành phố Móng Cái,17
Huyện Bình Liêu,17
Huyện Đầm Hà,17
Huyện Hải Hà,17
Huyện Tiên Yên,17
Huyện Ba Chẽ,17
Thị xã Đông Triều,17
Thị xã Quảng Yên,17
Huyện Hoành Bồ,17
Huyện Vân Đồn,17
Huyện Cô Tô,17
Thành phố Bắc Giang,18
Huyện Yên Thế,18
Huyện Lục Ngạn,18
Huyện Sơn Động,18
Huyện Lục Nam,18
Huyện Tân Yên,18
Huyện Hiệp Hòa,18
Huyện Lạng Giang,18
Huyện Việt Yên,18
Huyện Yên Dũng,18
Thành phố Bắc Ninh,19
Huyện Yên Phong,19
Huyện Quế Võ,19
Huyện Tiên Du,19
Thị xã Từ  Sơn,19
Huyện Thuận Thành,19
Huyện Gia Bình,19
Huyện Lương Tài,19
Thành phố Hải Dương,20
Thị xã Chí Linh,20
Huyện Nam Sách,20
Huyện Kinh Môn,20
Huyện Gia Lộc,20
Huyện Tứ Kỳ,20
Huyện Thanh Miện,20
Huyện Ninh Giang,20
Huyện Cẩm Giàng,20
Huyện Thanh Hà,20
Huyện Kim Thành,20
Huyện Bình Giang,20
Thành phố Hưng Yên,21
Huyện Kim Động,21
Huyện Ân Thi,21
Huyện KHóai Châu,21
Huyện Yên Mỹ,21
Huyện Tiên Lữ,21
Huyện Phù Cừ,21
Huyện Mỹ Hào,21
Huyện Văn Lâm,21
Huyện Văn Giang,21
Thành phố Hòa Bình,22
Huyện Đà Bắc,22
Huyện Mai Châu,22
Huyện Tân Lạc,22
Huyện Lạc Sơn,22
Huyện Kỳ Sơn,22
Huyện Lương Sơn,22
Huyện Kim Bôi,22
Huyện Lạc Thủy,22
Huyện Yên Thủy,22
Huyện Cao Phong,22
Thành phố Phủ Lý,23
Huyện Duy Tiên,23
Huyện Kim Bảng,23
Huyện Lý Nhân,23
Huyện Thanh Liêm,23
Huyện Bình Lục,23
Thành phố Nam Định,24
Huyện Mỹ Lộc,24
Huyện Xuân Trường,24
Huyện Giao Thủy,24
Huyện ý Yên,24
Huyện Vụ Bản,24
Huyện Nam Trực,24
Huyện Trực Ninh,24
Huyện Nghĩa Hưng,24
Huyện Hải Hậu,24
Thành phố Thái Bình,25
Huyện Quỳnh Phụ,25
Huyện Hưng Hà,25
Huyện Đông Hưng,25
Huyện Vũ Thư,25
Huyện Kiến Xương,25
Huyện Tiền Hải,25
Huyện Thái Thụy,25
Thành phố Ninh Bình,26
Thành phố Tam Điệp,26
Huyện Nho Quan,26
Huyện Gia Viễn,26
Huyện Hoa Lư,26
Huyện Yên Mô,26
Huyện Kim Sơn,26
Huyện Yên Khánh,26
